YYYY-MM-DDTHH:MM:SS.S (UTC),Preferred Latitude,Preferred Longitude,Depth (km),Method,Magnitude,Strike,Dip,Rake,Err
2019-04-21T01:18:16.292431Z,-44.405207,168.345055,20.937109,NonLinLoc,0.475434653501003,NA,NA,NA,NA
2019-04-21T04:12:08.750000Z,-44.051457,168.791813,7.066,HypoDD,0.249389631477657,NA,NA,NA,NA
2019-04-21T04:52:16.207785Z,-44.076268,168.764211,5.891406,NonLinLoc,0.319861692611851,NA,NA,NA,NA
2019-04-21T04:55:15.702402Z,-44.003681,168.45364,2.509375,NonLinLoc,-0.070198465144392,NA,NA,NA,NA
2019-04-21T07:13:48.880000Z,-44.197176,168.473551,10.824,HypoDD,0.292859268422099,NA,NA,NA,NA
2019-04-21T08:37:42.090000Z,-44.043209,168.785937,4.538,HypoDD,0.263155159657312,NA,NA,NA,NA
2019-04-21T09:13:10.663772Z,-44.58798,168.22129,29.045312,NonLinLoc,0.727866326543023,NA,NA,NA,NA
2019-04-21T09:21:45.010973Z,-44.057332,169.493604,21.414062,NonLinLoc,1.70821561202383,NA,NA,NA,NA
2019-04-21T09:53:00.000000Z,-44.04386,168.795231,6.936,HypoDD,1.92369767338842,313.767689342764,28.8642856101407,-38.5243789942122,27.715007521275
2019-04-21T10:02:44.910000Z,-44.038692,168.8118,3.114,HypoDD,0.452487414076565,NA,NA,NA,NA
2019-04-21T14:36:18.050000Z,-44.29965,168.395866,8.469,HypoDD,0.133044343283725,NA,NA,NA,NA
2019-04-21T15:18:54.890000Z,-44.049886,168.797152,6.938,HypoDD,0.077337650876189,NA,NA,NA,NA
2019-04-21T16:47:38.920000Z,-44.047941,168.798014,7.029,HypoDD,0.084862762414984,NA,NA,NA,NA
2019-04-21T16:52:14.914430Z,-44.425313,168.260345,-1.913281,NonLinLoc,0.288033536896209,NA,NA,NA,NA
2019-04-21T17:01:13.006465Z,-44.059213,168.775777,0.558203,NonLinLoc,0.114350753012195,NA,NA,NA,NA
2019-04-21T18:10:56.720000Z,-44.183659,168.778125,8.15,HypoDD,-0.033647884150409,NA,NA,NA,NA
2019-04-21T18:32:48.840000Z,-44.051029,168.793132,7.666,HypoDD,0.51788155628714,NA,NA,NA,NA
2019-04-21T21:56:11.720000Z,-44.325895,168.583122,1.491,HypoDD,0.984736321057887,NA,NA,NA,NA
2019-04-21T21:56:13.835655Z,-44.253574,168.468419,7.560742,NonLinLoc,1.02096873728379,NA,NA,NA,NA
2019-04-21T22:41:22.960000Z,-44.04869,168.800228,6.336,HypoDD,0.013325275496617,NA,NA,NA,NA
2019-04-22T01:04:50.942408Z,-43.984489,168.333583,14.238086,NonLinLoc,0.259024847555015,NA,NA,NA,NA
2019-04-22T03:16:03.930000Z,-44.110286,168.770394,2.824,HypoDD,-0.098139357700756,NA,NA,NA,NA
2019-04-22T03:49:42.010000Z,-44.266797,168.5993,7.301,HypoDD,-0.028253533032598,NA,NA,NA,NA
2019-04-22T04:01:38.810000Z,-44.042147,168.803743,7.804,HypoDD,0.05440837850518,NA,NA,NA,NA
2019-04-22T05:24:57.168282Z,-43.982411,168.722048,18.162109,NonLinLoc,0.123680772146781,NA,NA,NA,NA
2019-04-22T05:33:19.920000Z,-44.045081,168.794971,7.028,HypoDD,0.022417225949653,NA,NA,NA,NA
2019-04-22T05:43:26.060000Z,-44.203129,168.685905,9.279,HypoDD,0.103610849043053,NA,NA,NA,NA
2019-04-22T07:45:09.130000Z,-44.201742,168.451237,7.169,HypoDD,3.55157229941407,151.034186773366,78.0222925501613,52.4173687088592,23.9604606670384
2019-04-22T07:57:34.920000Z,-44.171965,168.489437,7.661,HypoDD,-0.284478956964728,NA,NA,NA,NA
2019-04-22T07:59:11.090000Z,-44.202177,168.451514,7.346,HypoDD,1.03950272521212,38.0290045720054,42.5776501047587,178.485941722363,27.969243930412
2019-04-22T08:02:17.910000Z,-44.246077,168.373486,6.143,HypoDD,-0.065909894628579,NA,NA,NA,NA
2019-04-22T08:05:00.970000Z,-44.246077,168.37347,6.134,HypoDD,0.295623140564255,NA,NA,NA,NA
2019-04-22T08:05:08.760000Z,-44.246248,168.37321,6.101,HypoDD,-0.252602367281595,NA,NA,NA,NA
2019-04-22T08:08:03.940000Z,-44.245793,168.371989,5.7,HypoDD,-0.235685170942764,NA,NA,NA,NA
2019-04-22T08:10:37.040000Z,-44.201139,168.452344,6.798,HypoDD,0.314665982789841,NA,NA,NA,NA
2019-04-22T08:17:46.130000Z,-44.200968,168.451546,7.005,HypoDD,1.39876025365227,341.034145839973,64.0642435440731,-4.80847759692143,25.8422034021334
2019-04-22T08:18:40.930000Z,-44.245256,168.37277,5.819,HypoDD,0.467054066802761,NA,NA,NA,NA
2019-04-22T08:23:48.100000Z,-44.244503,168.375,6.475,HypoDD,0.007202640566128,NA,NA,NA,NA
2019-04-22T08:53:47.870000Z,-44.252417,168.370947,6.605,HypoDD,-0.001669874310028,NA,NA,NA,NA
2019-04-22T09:03:40.080000Z,-44.244535,168.372021,6.012,HypoDD,0.767364203543461,NA,NA,NA,NA
2019-04-22T09:04:18.120000Z,-44.155501,168.501253,2.807,HypoDD,0.126590613055723,153.827212472454,84.2156250392543,-0.237325625254373,28.8597653149591
2019-04-22T09:05:11.990000Z,-44.051396,168.798063,6.717,HypoDD,-0.041915805806743,NA,NA,NA,NA
2019-04-22T09:44:10.130000Z,-44.201436,168.451009,6.85,HypoDD,0.267284059847395,NA,NA,NA,NA
2019-04-22T10:03:56.738019Z,-44.293187,168.523393,21.717578,NonLinLoc,0.277721071946511,NA,NA,NA,NA
2019-04-22T10:17:09.093143Z,-44.441779,168.616105,9.360156,NonLinLoc,0.642216587521759,NA,NA,NA,NA
2019-04-22T10:55:30.860000Z,-44.142505,168.514583,2.973,HypoDD,-0.396260867709655,NA,NA,NA,NA
2019-04-22T11:10:40.140000Z,-44.101778,168.772217,4.187,HypoDD,0.916711614234861,NA,NA,NA,NA
2019-04-22T11:34:00.950000Z,-44.226929,168.475911,6.769,HypoDD,-0.028737782987606,NA,NA,NA,NA
2019-04-22T12:38:36.090000Z,-44.102071,168.768685,3.441,HypoDD,0.385798823655899,NA,NA,NA,NA
2019-04-22T16:13:46.870000Z,-44.248079,168.378353,6.559,HypoDD,-0.072539048902799,NA,NA,NA,NA
2019-04-22T17:27:51.000000Z,-44.312524,168.90402,6.142,HypoDD,0.597438309861592,NA,NA,NA,NA
2019-04-22T19:28:13.000000Z,-44.046928,168.797786,7.017,HypoDD,0.926944355465525,NA,NA,NA,NA
2019-04-22T19:50:04.140000Z,-44.036723,168.80262,4.473,HypoDD,0.068135061260426,NA,NA,NA,NA
2019-04-22T20:49:27.960000Z,-44.241048,168.489193,7.24,HypoDD,-0.018730214333858,NA,NA,NA,NA
2019-04-22T23:57:06.978165Z,-44.375954,168.45745,5.999805,NonLinLoc,0.423531503175363,NA,NA,NA,NA
2019-04-23T00:26:37.100000Z,-44.049642,168.797038,6.956,HypoDD,0.580207190131313,NA,NA,NA,NA
2019-04-23T02:08:50.339985Z,-44.463067,168.381061,2.010742,NonLinLoc,1.45084037753808,NA,NA,NA,NA
2019-04-23T02:29:09.333655Z,-44.114152,168.965559,15.864062,NonLinLoc,0.336717304995894,NA,NA,NA,NA
2019-04-23T03:19:05.010000Z,-43.994942,168.432129,16.001,HypoDD,0.402095770644001,NA,NA,NA,NA
2019-04-23T03:27:51.144374Z,-44.211299,168.646393,9.273437,NonLinLoc,-0.10931918659096,NA,NA,NA,NA
2019-04-23T03:52:53.880000Z,-44.173747,168.699593,2.749,HypoDD,0.015357073996853,NA,NA,NA,NA
2019-04-23T04:22:39.459878Z,-44.343184,168.340209,25.663281,NonLinLoc,0.217302078677367,NA,NA,NA,NA
2019-04-23T04:32:27.090000Z,-44.188,168.482878,7.53,HypoDD,0.244410127421284,51.505591253306,78.9548328522433,-172.603760881286,29.0786066884223
2019-04-23T06:49:15.040000Z,-44.191976,168.645003,5.447,HypoDD,0.129719029104466,NA,NA,NA,NA
2019-04-23T07:04:47.840000Z,-44.141138,168.615592,15.886,HypoDD,0.05082558931746,NA,NA,NA,NA
2019-04-23T08:10:30.970000Z,-44.294564,168.875114,10.873,HypoDD,0.108195385090614,NA,NA,NA,NA
