Longitude,Latitude,VE  AUS,VN  AUS,σE,σN
167.655,-45.314,-23.78,-3.16,0.85,1.3
167.739,-45.562,-24.64,-11.48,0.71,0.75
169.198,-45.388,-28.01,-13.31,0.67,0.71
169.191,-44.872,-28,-10.87,0.78,0.67
169.769,-44.318,-27.29,-13.11,1.19,1.26
169.379,-44.483,-26.38,-12.4,2.11,2.24
169.763,-44.734,-28.54,-13.02,0.97,1.31
170.326,-44.804,-30.69,-13.99,1.47,1.51
170.844,-45.374,-29.74,-9.79,0.86,0.71
170.695,-44.744,-30.84,-12.6,1.94,1.73
170.965,-44.83,-31.91,-10.11,1.32,1.19
170.654,-44.968,-32.13,-12.35,1.41,1.31
170.603,-44.3,-30.5,-11.85,0.5,0.56
171.057,-44.401,-31.11,-12.05,0.62,0.58
171.258,-44.443,-31.34,-11.91,0.53,0.66
170.278,-44.139,-27.85,-11.35,2.31,1.39
170.92,-44.122,-30.82,-11.18,0.58,0.64
171.103,-44.091,-31.16,-11.94,0.52,0.9
171.299,-44.205,-31.65,-11.95,0.53,0.57
171.565,-44.008,-31.94,-11.81,0.61,0.59
171.361,-43.747,-30.99,-11.98,0.69,0.81
171.742,-43.468,-30.04,-11.42,0.52,0.54
172.137,-43.38,-31.38,-11.29,0.41,0.44
172.38,-43.27,-30.98,-10.54,0.55,0.48
172.548,-43.118,-29.91,-10.43,0.56,0.64
172.824,-43.078,-30.89,-10.02,0.58,0.61
172.693,-42.987,-29.36,-9.66,0.64,0.81
172.813,-42.907,-29.36,-11.4,0.76,0.96
172.503,-42.894,-27.01,-10.76,0.6,0.6
172.692,-42.838,-28.28,-10.74,0.79,1.09
173.026,-42.786,-29.34,-11.52,0.7,0.51
172.643,-42.744,-25.2,-9.89,0.74,0.76
173.01,-42.687,-28.21,-10.18,0.54,0.43
172.935,-42.474,-22.34,-7.81,0.54,0.41
173.697,-42.42,-30.11,-11,0.94,1.03
173.612,-42.311,-26.88,-10.1,0.54,0.7
173.224,-42.272,-20.98,-6.6,0.43,0.45
173.429,-42.135,-21.16,-7.08,0.49,0.51
172.735,-42.014,-10.59,-0.73,0.91,0.86
173.602,-41.978,-21.63,-6.41,0.49,0.55
173.346,-41.958,-15.49,-3.56,0.46,0.43
172.359,-41.821,-5.99,0.29,0.45,0.46
172.118,-42.029,-5.54,-0.33,0.45,0.43
172.5,-41.729,-6.92,1.07,0.55,0.52
172.28,-41.722,-5.01,0.08,0.47,0.47
173.395,-41.7,-11.81,-1.44,0.45,0.43
172.762,-41.699,-6.89,0.53,0.56,0.47
173.058,-41.627,-8.11,-0.46,0.66,0.53
173.998,-41.616,-16.66,-4.82,0.44,0.48
172.541,-41.552,-6.23,0.28,0.48,0.44
173.802,-41.543,-12.23,-2.43,0.5,0.55
173.396,-41.474,-8.78,-0.72,0.51,0.48
175.332,-41.399,-31.91,-8.94,0.53,0.58
174.022,-41.348,-11.84,-2.4,0.51,0.45
172.828,-41.525,-6.73,0.02,0.52,0.51
174.711,-41.341,-22.72,-7.16,0.53,0.46
172.984,-41.333,-6.29,-0.16,0.48,0.42
174.828,-41.294,-23.75,-7.64,0.52,0.55
174.628,-41.277,-18.73,-4.38,0.56,0.57
173.432,-41.276,-7.44,-0.82,0.44,0.45
174.778,-41.231,-20.57,-6.13,0.62,0.45
175.399,-41.192,-28.97,-10.13,0.46,0.41
174.874,-41.183,-21.24,-6.47,0.56,0.57
175.652,-41.18,-29.77,-10.9,0.48,0.42
175.513,-41.128,-28.66,-10.64,0.42,0.51
175.39,-41.075,-24.82,-9.76,0.41,0.41
173.868,-40.854,-6.39,-0.84,2.23,1.38
175.443,-40.797,-19.85,-7.81,0.42,0.4
176.006,-40.58,-22.88,-10.25,0.61,0.56
175.625,-40.51,-17.52,-5.81,0.46,0.46
175.259,-40.493,-12.83,-4.22,0.61,0.52
176.453,-40.385,-18.82,-13.11,0.77,0.66
175.488,-40.24,-9.45,-4.55,0.72,0.6
175.881,-40.211,-11.95,-8.19,0.48,0.56
176.339,-40.181,-13.28,-11.45,0.64,0.56
176.783,-40.093,-10.95,-16.15,0.93,0.67
176.497,-40.001,-10.97,-11.98,0.57,0.49
176.872,-39.795,-9.23,-14.02,0.55,0.58
